site_id,year,site_name,security_incidents_count,percent_https_pages,avg_patch_time_days,csp_present,malware_detections,phishing_reports,whois_age_years,ssl_grade,blocklist_hits
site001,2008,example1,30,60.94754572957754,28.632276758085936,0,10,7,14.711908260826021,7.198849669657648,0
site001,2009,example2,14,99.0355877391994,15.1990158976987,0,2,12,14.608168106526136,8.563026457559317,3
site001,2010,example3,50,79.60896792821586,3.4153330188710243,0,0,6,11.227718504611403,7.176588358124718,2
site001,2011,example4,13,75.56681292131543,8.537911970866844,0,9,3,6.48579982528463,8.326859443914145,1
site001,2012,example5,2,76.70219839550555,26.37055214261636,1,3,8,10.288473201915622,7.615320822224021,0
site001,2013,example6,41,63.71703281998634,25.709714954951778,0,9,5,4.601252434775233,9.51792907086201,5
site001,2014,example7,49,66.47236840799451,25.444235272705555,0,3,8,5.337178566958755,9.689355401787907,0
site001,2015,example8,42,76.21665980666876,28.460206564283,0,9,1,12.766389353200793,9.805500144138932,3
site001,2016,example9,36,73.67257776670158,19.9277674080804,1,7,11,10.635823839344084,6.168505212990567,3
site001,2017,example10,13,76.6102981287986,15.15651139151305,0,5,8,11.849049657117575,7.157225955743343,2
site001,2018,example11,24,72.16209876351058,6.444944319548085,1,10,8,5.309760451782495,7.094393818406388,1
site001,2019,example12,25,82.41122149862349,21.677958762506023,1,7,10,9.98188113514334,5.797922422643751,3
site001,2020,example13,26,66.23496602289379,3.467029150109738,1,9,1,9.58748278580606,7.656874160747975,4
site001,2021,example14,4,98.2631905656308,14.374782762490213,1,5,14,4.171764224767685,9.667504763929173,4
site001,2022,example15,50,61.75866501405835,28.141311891842633,1,3,8,4.446229039225727,5.45202445005998,3
site002,2008,example16,26,74.88630970939994,25.513516368111596,0,10,7,13.288612095173448,8.282001659972593,0
site002,2009,example17,27,98.50461365655065,21.76941479067318,1,6,9,11.986776160541922,5.8925879339221865,3
site002,2010,example18,8,85.81710062921047,4.590384100796655,0,7,8,1.3592562368139625,6.24291060725227,1
site002,2011,example19,28,62.45050457306206,18.249996377388015,1,4,11,11.574663500767201,7.896810718812048,0
site002,2012,example20,34,76.39783713966608,29.705731241498142,0,9,9,13.568022483959794,5.495766125386581,4
site002,2013,example21,7,77.03620536252856,18.846846147673205,1,3,1,13.502922682557255,8.326677534496412,0
site002,2014,example22,25,80.32632338814437,8.919252342777327,0,6,1,2.672100672032684,8.10137392138131,1
site002,2015,example23,6,77.98399643041193,2.8474984522908926,1,8,9,14.667809577658772,9.364378203172237,2
site002,2016,example24,41,84.93045534007251,3.0967949917539954,1,3,4,13.74073035782203,5.994208549382165,1
site002,2017,example25,8,65.59911724179983,26.33182520722039,1,4,9,4.625952723436058,6.6035649727564305,5
site002,2018,example26,18,96.31785603240132,11.521924904314801,0,10,1,13.44549622060731,7.04854272888042,4
site002,2019,example27,35,82.77773099020123,28.42304232553579,0,0,3,12.662353765685111,9.635065358597785,1
site002,2020,example28,13,81.93122295662761,17.191249259747565,0,1,5,7.149993234779686,5.217404445866123,3
site002,2021,example29,16,64.67310490086675,15.867173375794664,1,7,14,2.0745197273790836,5.968206039397046,1
site002,2022,example30,42,90.48113329336047,28.485378242796287,0,6,3,13.126155774109066,8.600317020900548,0
site003,2008,example31,38,79.13477786816657,4.184246271383017,0,4,3,5.531263681128621,5.2760639868211,2
site003,2009,example32,11,91.27875658683479,24.748318965546787,0,4,12,4.24930787505582,9.906170795438811,0
site003,2010,example33,14,61.841061944141984,11.942921096459031,1,3,9,12.589055280201137,5.1291327946819365,5
site003,2011,example34,31,92.79378671199083,17.142590386793017,0,5,3,14.881792454980314,7.546065755886957,1
site003,2012,example35,41,70.77633789740503,10.102264414075762,0,6,7,4.22194609278813,9.326071683317423,5
site003,2013,example36,44,71.31401658058167,3.387943529058248,0,2,4,2.2434020354412496,6.508073061704636,5
site003,2014,example37,6,85.72886237874627,23.61818872601725,0,3,1,9.892710668500513,8.09884110931307,5
site003,2015,example38,8,97.92475351132452,6.603807124076411,0,10,15,12.991713196970522,7.826179821277037,2
site003,2016,example39,40,60.279938178136945,20.011978559894487,1,8,14,3.57518549868837,7.24058160209097,5
site003,2017,example40,9,74.06470688059926,13.619264546548948,0,3,1,8.076647891197354,9.712901670718566,1
site003,2018,example41,22,76.76182899624109,6.717301469994709,1,5,11,5.977848368231207,6.922633360372856,5
site003,2019,example42,26,78.31507188268006,29.845152243971825,0,3,15,12.542942377738655,6.724952574586496,2
site003,2020,example43,6,88.46770317293704,13.955543126212433,1,6,3,7.772204562090337,9.718296567443758,2
site003,2021,example44,26,96.79392230696976,1.9113732620608062,1,2,13,4.246780984569341,5.462537881685421,3
site003,2022,example45,31,85.08442802354693,28.173480185912922,1,7,0,4.78228806424886,9.425763102481142,0
site004,2008,example46,37,96.08727113343775,26.25853467429988,0,5,0,12.521909011993557,6.4918220799881965,4
site004,2009,example47,24,90.29316636733711,18.43614221829921,0,1,7,1.3617075528018177,5.788760225987062,4
site004,2010,example48,33,65.51433462649584,9.671448234003037,1,1,1,6.6829570746049285,5.559505263809115,2
site004,2011,example49,28,66.13019512034953,24.471041979966685,1,5,8,9.344484597910196,5.410550693050027,0
site004,2012,example50,4,67.652487475425,28.61212916695513,1,6,5,8.402355136349797,6.159273509401828,3
site004,2013,example51,7,77.32740562409163,25.709565166616812,1,2,15,10.55599271832034,9.305523425573483,1
site004,2014,example52,11,63.48877207376063,4.691982340067625,0,2,7,8.109380707610399,7.066051968140528,5
site004,2015,example53,12,68.95120004191995,29.097588143777102,1,7,7,8.761205135378987,8.562344466336071,0
site004,2016,example54,17,82.8859471809119,17.155929252738133,1,8,8,12.777361466549337,9.64945615036413,5
site004,2017,example55,32,76.00676713511348,1.1555689736269414,1,8,9,5.375142243690789,6.5234109200537205,0
site004,2018,example56,26,82.61861522682011,4.937153670703992,1,2,1,1.503273684065789,8.692742649000138,0
site004,2019,example57,24,93.18495514802635,1.1695659453980625,1,1,9,12.423916848376393,8.270570918684825,2
site004,2020,example58,37,85.68455277942121,24.68934780312702,1,6,15,11.900075051933527,6.522355357883498,5
site004,2021,example59,20,75.6599500682205,23.682744048070163,1,4,13,13.031312878243625,5.107623329386115,1
site004,2022,example60,14,88.38319418951869,28.00092228874564,1,1,15,1.9200709913857281,6.910723979817703,3
site005,2008,example61,40,64.35296292416751,11.692006587749347,0,9,2,1.123285659123212,6.264900034293532,4
site005,2009,example62,46,70.944909369573,29.259191351011395,1,2,7,9.283532257191837,7.663469064282253,1
site005,2010,example63,25,83.75467730686069,24.888566774781793,1,1,15,13.174615325871855,8.341107006417587,5
site005,2011,example64,30,66.40739253722131,23.83601703471504,1,2,10,7.248086401261389,6.459910736884922,0
site005,2012,example65,15,94.13720955140889,19.061949205351993,0,5,14,1.5260500647127628,7.354691084474325,3
site005,2013,example66,29,93.90956630930305,29.053292936412618,1,6,6,6.7440681657753885,6.897877610754222,0
site005,2014,example67,5,79.11547250114381,15.49763622879982,1,5,11,6.113026956561953,5.499705184483901,4
site005,2015,example68,42,90.94768489710987,26.917172389337793,0,3,2,7.672187627758831,5.891004380537197,1
site005,2016,example69,7,71.81600322015584,12.630254162009805,0,0,11,2.8714885800145566,9.225052550900728,1
site005,2017,example70,21,62.62512447312474,13.978706679539755,0,3,1,7.712387592531741,7.363233879441395,0
site005,2018,example71,21,77.62132499366999,28.137593381572515,0,9,2,4.7003776845522225,9.387986414367333,3
site005,2019,example72,38,78.48395431414247,20.816633723676205,1,5,12,7.859061181079596,9.208936471259221,2
site005,2020,example73,30,73.63737480714917,1.526730774436146,1,2,1,13.684856864623725,5.867992806015536,5
site005,2021,example74,47,67.40561274811625,5.800274812383577,1,7,8,8.013962819706649,8.622975401813164,2
site005,2022,example75,16,80.27990907430649,15.379200468072668,0,7,1,10.84909533848986,7.132157633313909,3
site006,2008,example76,49,60.76764122582972,13.36952161299996,0,5,0,1.81074038753286,7.926032734103501,0
site006,2009,example77,48,90.94744157977402,29.769540498265997,1,3,2,10.650352846831083,8.837462494848296,0
site006,2010,example78,33,82.3866031691432,26.77955359360203,0,9,14,12.183133861981332,9.628116431413218,2
site006,2011,example79,3,85.65850556828082,11.026905766688287,1,1,13,1.2639704551547766,9.030652343062684,2
site006,2012,example80,12,78.73728474602103,21.46947962534614,1,5,3,1.515404005534947,9.70968644367531,4
site006,2013,example81,4,71.16895242594182,27.353015924803913,1,9,9,9.089511250145733,6.492451369995251,4
site006,2014,example82,50,78.44866281375289,20.61249372852035,1,9,2,12.060502032283694,5.008181591983885,3
site006,2015,example83,24,91.70953366905451,19.53390786703676,0,6,5,11.293654466047883,5.949127071071416,3
site006,2016,example84,21,83.42262305319309,5.338531284360215,0,10,15,4.759528066497296,8.71682679047808,5
site006,2017,example85,24,75.79035943374038,18.432636311044917,1,0,4,12.275129941292107,8.174905781634152,1
site006,2018,example86,31,92.44949398562312,8.909785840194672,0,7,3,6.949060288723558,7.52818355569616,1
site006,2019,example87,45,72.74252375587821,14.277747760294005,0,4,7,3.313012699596584,5.138406944461167,3
site006,2020,example88,24,83.25789352878928,7.4453397046308964,1,4,3,9.45666597224772,5.305309959221631,5
site006,2021,example89,22,78.21955831721425,8.392723989207298,0,0,15,12.560644986107945,5.855182072846219,1
site006,2022,example90,34,70.75213799253106,19.956944087985903,0,0,6,11.93331298371777,9.970651244511828,5
site007,2008,example91,39,82.20708819106221,14.687801672844216,1,0,0,2.140676590614021,8.902062519919127,5
site007,2009,example92,47,69.24923537299037,5.667928033974022,0,4,15,1.9906171569600701,7.611663872376084,4
site007,2010,example93,29,81.72931591980159,8.89032970345579,1,3,1,14.425440247170627,5.221046911319718,3
site007,2011,example94,11,77.90280564688146,21.67572669754736,0,5,7,2.2640986000187695,6.350921378470957,2
site007,2012,example95,30,65.21152547560632,18.78725591325201,1,1,12,3.9715175316669047,5.574594140052795,5
site007,2013,example96,45,84.8690393101424,4.831537020392716,1,8,2,7.148850301280618,8.613628667080775,4
